annee,sexe,age3e,retard,secteur,acad,poids,score,plaisir,performance,estime_soi,anx_sociale,anx_echouer,anx_decevoir,anx_separer
2003,2,14.98630137,2,pu,10,0.2946139074,269.13652035,0.1595713716,0.5250618277,-0.57170741,0.5432910444,-1.47953987,-0.500043205,-0.26728876
2003,1,15.906849315,1,pu,10,0.3181684562,203.80984618,-2.185899344,-2.058014018,-1.173940768,-0.990462981,-0.425698165,0.3702598077,-1.387450013
2003,1,15.235616438,2,pu,10,0.2970175775,185.49914594,,-1.063187656,1.3930618607,-0.113511427,-0.470651387,-0.049059909,0.6270391622
2003,2,15.320547945,1,pu,10,0.3155936186,382.03527444,-0.604600825,1.7713848821,0.9210399164,-0.113511427,-0.949590147,-0.712485324,-1.387450013
2003,2,14.734246575,2,pu,10,0.2946139074,252.65840548,0.1042965334,0.269686577,-0.316526064,-0.33438745,-1.210944585,-0.707091018,-0.09975575
2003,2,14.816438356,2,pu,10,0.2946139074,273.75062206,0.1595713716,-0.976636477,-0.061344719,-0.113511427,-1.141148543,-0.490083169,-0.249037858
2003,1,14.646575342,2,pu,10,0.2970175775,179.13804466,-2.185899344,1.4870916747,-0.815372952,-0.990462981,-0.033929666,0.7977560915,-1.126069963
2003,1,14.391780822,2,pu,10,0.2970175775,355.48224397,0.9520209647,1.7713848821,0.8721887857,-0.560285958,0.3740299479,0.7975858761,-0.528668809
2003,1,15.142465753,2,pu,10,0.2970175775,370.70450256,-0.105005145,1.5160096314,0.3345584248,0.1066376552,-0.626434584,-0.707091018,-0.435776854
2003,2,14.643835616,2,pu,10,0.2946139074,229.50047299,-0.396579102,0.269686577,-0.663578077,-0.781161981,-1.956112421,-1.358602712,-1.387450013
2003,2,14.895890411,2,pu,10,0.2946139074,262.25455165,-2.185899344,-0.69234327,-0.620558541,-0.990462981,-1.979772136,-0.922145183,-0.174396804
2003,1,14.224657534,2,pu,10,0.2970175775,183.87911285,-1.414275142,-0.152674812,0.8564369188,-0.990462981,-1.186101765,-0.924927443,0.3291573101
2003,2,14.139726027,2,pu,10,0.2946139074,335.76729089,0.6604470072,1.231716424,0.4978691029,0.752592044,-0.948407042,0.8111567487,-0.174396804
2003,2,15.142465753,2,pu,10,0.2946139074,221.05487086,-1.392169796,-1.746843478,-0.316526064,-0.990462981,-1.956112421,-0.501700356,-0.864689914
2003,2,14.38630137,2,pu,10,0.2946139074,239.34736899,0.1042965334,-0.210308034,-0.441495996,-0.549437876,-0.640916278,0.3710883834,-1.387450013
2003,2,14.802739726,2,pu,10,0.2946139074,266.01741306,-0.396579102,0.269686577,-0.620558541,0.7634401266,0.4037474057,-0.276027795,-0.435776854
2003,1,16.219178082,1,pu,10,0.3181684562,221.34399756,-2.185899344,-0.463845352,-0.739696878,-0.990462981,-0.172338644,1.0235549709,-0.006863794
2003,1,13.969863014,2,pu,10,0.2970175775,281.02398106,-2.185899344,-0.210308034,-0.316526064,0.1073645956,-0.126202318,0.5879260175,-0.697156904
2003,1,15.128767123,2,pu,10,0.2970175775,272.66145411,-0.667327669,0.0450672164,1.3930618607,-0.113511427,-0.470651387,-0.488299699,0.6270391622
2003,2,14.463013699,2,pu,10,0.2946139074,218.22390395,-2.185899344,-1.264808242,-0.593290871,-0.113511427,0.6735257955,1.4582290302,-0.697156904
2003,1,14.912328767,2,pu,20,0.3023063223,210.58233319,1.1785473666,-0.752017117,-0.316526064,-0.990462981,1.203475519,-0.059019946,-1.126069963
2003,2,16.410958904,1,pu,20,0.3212131315,189.07361993,-1.894325387,-1.775761435,-0.712429208,-0.549437876,1.7346083471,1.0235549709,0.7955272563
2003,1,15.663013699,1,pu,20,0.323833817,259.83613613,-1.949600225,-0.131913699,0.4595283562,-0.990462981,-2.248367421,-0.496476266,-0.603309864
2003,2,14.326027397,2,pu,20,0.299859852,242.56259779,1.7064204435,1.262472314,0.3834095556,2.5173432337,0.9870743024,1.0269955918,-1.051428909
2003,2,15.15890411,2,pu,20,0.299859852,233.31708892,-1.139925908,-1.489427603,-0.457247862,-0.770313898,-0.126202318,-0.281422101,0.7026353007
2003,1,14.57260274,2,pu,20,0.3023063223,230.07693308,-0.903626789,0.269686577,0.8019015791,-0.990462981,-1.110247981,-1.358602712,-0.603309864
2003,2,15.076712329,2,pu,20,0.299859852,307.15289328,1.4701213241,1.5467655214,-1.092580485,1.1820421257,-0.925930431,-1.138982817,-1.387450013
2003,1,15.408219178,1,pu,20,0.323833817,245.33111262,0.395870491,-0.272022505,-0.54443974,0.5440179849,1.1809989082,0.5897094872,1.0377013207
2003,1,15.323287671,1,pu,20,0.323833817,219.03838136,0.7157218454,0.4346320909,0.3775779615,0.7648940075,0.7790970372,1.8875087836,0.1433733989
2003,M,14.487671233,2,pu,20,0.299859852,222.46974907,,,,,,,
2003,1,15.906849315,1,pu,20,0.323833817,177.20472,-0.650102945,-1.835435282,-0.64782621,0.962619984,-1.187284869,1.0217715012,0.1616243001
2003,1,14.98630137,2,pu,20,0.3023063223,233.27198712,-1.122701184,-0.01460663,1.5505409447,-0.990462981,0.91964447,0.8013230308,2.4192426238
2003,1,14.736986301,2,pu,20,0.3023063223,273.21383899,-0.659875663,1.5467655214,0.8449211158,-0.340863817,-1.740894308,-0.498386054,-0.341929814
2003,2,15.4,1,pu,20,0.3212131315,196.83664274,0.6493943342,-1.775761435,-0.54443974,0.7576907,0.7044263578,-0.05362564,0.3301123942
2003,1,15.065753425,2,pu,20,0.3023063223,250.28137063,-0.160279983,1.231716424,1.2250723927,0.3339900448,0.6960024063,0.1514684885,1.4675694646
