Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
187;Métro;SAINT-AUGUSTIN;2947957;9;;;;;Paris;8
192;Métro;PORTE DAUPHINE;2894665;2;;;;;Paris;16
198;Métro;PORTE DOREE;2822951;8;;;;;Paris;12
207;Métro;NATIONALE;2614523;6;;;;;Paris;13
181;Métro;COMMERCE;2996497;8;;;;;Paris;15
178;Métro;SAINT-DENIS-PORTE DE PARIS;3041907;13;;;;;Saint Denis;
224;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2438115;5;;;;;Pantin;
196;Métro;BERAULT;2858413;1;;;;;Vincennes;
185;Métro;PLACE MONGE;2973319;7;;;;;Paris;
142;Métro;PORTE DE LA VILLETTE;3583870;7;;;;;Paris;19
109;Métro;PORTE DE VANVES;4410283;13;;;;;Paris;14
158;Métro;QUAI DE LA GARE;3366405;6;;;;;Paris;13
126;Métro;ALEXANDRE DUMAS;3846473;2;;;;;Paris;11
102;Métro;COLONEL FABIEN;4575858;2;;;;;Paris;10
115;Métro;ALMA-MARCEAU;4272042;9;;;;;Paris;8
140;Métro;FUNICULAIRE;3596114;2;;;;;Paris;18
152;Métro;BROCHANT;3471022;13;;;;;Paris;17
149;Métro;CADET;3485034;7;;;;;Paris;9
118;Métro;LES COURTILLES;4126878;13;;;;;Asnières sur Seine;
255;Métro;PORTE DE CHARENTON;1902697;8;;;;;Paris;12
252;Métro;SEVRES-LECOURBE;1992343;6;;;;;Paris;15
247;Métro;MAISON BLANCHE;2043760;7;;;;;Paris;13
248;Métro;MICHEL BIZOT;2043217;8;;;;;Paris;12
240;Métro;SAINT-MARCEL;2101575;5;;;;;Paris;13
257;Métro;MABILLON;1892987;10;;;;;Paris;6
230;Métro;RANELAGH;2383384;9;;;;;Paris;16
246;Métro;JASMIN;2047639;9;;;;;Paris;16
231;Métro;CITE;2326158;4;;;;;Paris;4
237;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2244984;7;;;;;Villejuif;
268;Métro;SAINT-FRANCOIS-XAVIER;1797081;13;;;;;Paris;7
300;Métro;BUTTES-CHAUMONT;492601;7bis;;;;;Paris;19
262;Métro;QUATRE-SEPTEMBRE;1850860;3;;;;;Paris;2
276;Métro;CHATEAU-LANDON;1629996;7;;;;;Paris;10
281;Métro;SULLY-MORLAND;1468391;7;;;;;Paris;4
301;Métro;PELLEPORT;382266;3bis;;;;;Paris;20
293;Métro;FALGUIERE;965829;12;;;;;Paris;15
278;Métro;VARENNE;1552036;13;;;;;Paris;7
294;Métro;VANEAU;959858;10;;;;;Paris;7
275;Métro;LIEGE;1659751;13;;;;;Paris;8
56;RER;PALAISEAU-VILLEBON;856892;B;;;;;Palaiseau;
50;RER;LES BACONNETS;1623880;B;;;;;Antony;
16;Métro;PLACE D'ITALIE;11542761;5;6;7;;;Paris;13
8;Métro;BIBLIOTHEQUE;15840239;14;;;;;Paris;13
39;Métro;STALINGRAD;7089762;2;5;7;;;Paris;19
